Verified,Title,Description,Source,Hazard,Incident on,Province,District,Municipality,Ward,Total estimated loss (NPR),Agriculture economic loss (NPR),Infrastructure economic loss (NPR),Total infrastructure destroyed,House destroyed,House affected,Total livestock destroyed,Total - People Death,Male - People Death,Female - People Death,Unknown - People Death,Disabled - People Death,Total - People Missing,Male - People Missing,Female - People Missing,Unknown - People Missing,Disabled - People Missing,Total - People Injured,Male - People Injured,Female - People Injured,Unknown - People Injured,Disabled - People Injured,date,search_str,latitude,longitude
Yes,"Landslide at Thalang, Sirijangha Rural Municipality-1",,other,Landslide,2022-06-14,Koshi,Taplejung,Sirijangha,1,900000.0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-14,"Sirijangha, Taplejung, Nepal",27.494260000000057,87.96349000000004
Yes,"Landslide at Golphinbesi, Bhimphedi Rural Municipality-3",,nepal_police,Landslide,2022-06-14,Bagmati,Makwanpur,Bhimphedi,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-14,"Bhimphedi, Makwanpur, Nepal",27.53260000000006,85.11616000000004
Yes,"Landslide at Raneda, Gaumul Rural Municipality-2",,nepal_police,Landslide,2022-06-12,Sudurpashchim,Bajura,Gaumul,2,410000.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-12,"Gaumul, Bajura, Nepal",29.56923000000006,81.48293000000007
Yes,"Landslide at Daunne, Paribartan Rural Municipality-5",,nepal_police,Landslide,2022-06-12,Lumbini,Rolpa,Paribartan,5,,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-12,"Paribartan, Rolpa, Nepal",28.39289000000008,82.49874000000005
Yes,"Landslide at Ghimire Gaun, Tripura Sundari Rural Municipality-5",,nepal_police,Landslide,2022-06-10,Bagmati,Dhading,Tripura Sundari,5,,0,0,6,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-10,"Tripura Sundari, Dhading, Nepal",28.019870000000022,84.87145000000004
Yes,"Landslide at Ladari Bhanjyang, Bhanu Municipality-10",,nepal_police,Landslide,2022-06-10,Gandaki,Tanahu,Bhanu,10,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-10,"Bhanu, Tanahu, Nepal",28.041810000000055,84.40635000000003
Yes,"Landslide at Beltakura, Simta Rural Municipality-8",,nepal_police,Landslide,2022-06-10,Karnali,Surkhet,Simta,8,1000000.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-10,"Simta, Surkhet, Nepal",28.546920000000057,81.94508000000008
Yes,"Landslide at Sitala, Naraharinath Rural Municipality-9",,nepal_police,Landslide,2022-06-09,Karnali,Kalikot,Naraharinath,9,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-09,"Naraharinath, Kalikot, Nepal",29.220120000000065,81.53317000000004
Yes,"Landslide at kiureni, Palungtar Municipality-6",,other,Landslide,2022-06-09,Gandaki,Gorkha,Palungtar,6,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-09,"Palungtar, Gorkha, Nepal",28.012700000000052,84.52199000000007
Yes,"Landslide at Rengil, Sanni Tribeni Rural Municipality-1",,nepal_police,Landslide,2022-06-09,Karnali,Kalikot,Sanni Tribeni,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-09,"Sanni Tribeni, Kalikot, Nepal",29.26276000000007,81.58511000000004
Yes,"Landslide at syala, Galkot Municipality-3",,nepal_police,Landslide,2022-06-09,Gandaki,Baglung,Galkot,3,,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-09,"Galkot, Baglung, Nepal",28.253160000000037,83.38330000000008
Yes,"Landslide at Bhandar khola, Bareng Rural Municipality-2",,other,Landslide,2022-06-08,Gandaki,Baglung,Bareng,2,200000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-08,"Bareng, Baglung, Nepal",28.13795000000005,83.51379000000009
Yes,"Landslide at Kamul, Galkot Municipality-1",,other,Landslide,2022-06-08,Gandaki,Baglung,Galkot,1,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-08,"Galkot, Baglung, Nepal",28.253160000000037,83.38330000000008
Yes,"Landslide at Anglung, Madane Rural Municipality-6",,nepal_police,Landslide,2022-06-04,Lumbini,Gulmi,Madane,6,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-04,"Madane, Gulmi, Nepal",28.175050000000056,83.06921000000006
Yes,"Landslide at Nundjhaki, Chichila Rural Municipality-1",,other,Landslide,2022-06-01,Koshi,Sankhuwasabha,Chichila,1,,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-01,"Chichila, Sankhuwasabha, Nepal",27.483190000000036,87.23172000000005
Yes,Landslide at Mahakulung Rural Municipality-4,,nepal_police,Landslide,2022-05-30,Koshi,Solukhumbu,Mahakulung,4,3000000.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-30,"Mahakulung, Solukhumbu, Nepal",27.655590000000075,86.90195000000006
Yes,Flood at Golbazar Municipality-6,,other,Flood,2022-05-29,Madhesh,Siraha,Golbazar,6,435000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-29,"Golbazar, Siraha, Nepal",26.803220000000067,86.33460000000008
Yes,"Landslide at charkiol, Ichchhyakamana Rural Municipality-6",,other,Landslide,2022-05-27,Bagmati,Chitwan,Ichchhyakamana,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2022-05-27,"Ichchhyakamana, Chitwan, Nepal",27.80278000000004,84.58055000000007
Yes,"Landslide at Bibirapani, Pokhara Lekhnath Metropolitan City-28",,other,Landslide,2022-05-05,Gandaki,Kaski,Pokhara Lekhnath,28,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-05,"Pokhara Lekhnath, Kaski, Nepal",28.20806000000005,83.98452000000003
Yes,"Landslide at Rajime , Bhumekasthan Municipality-1",,other,Landslide,2022-04-29,Lumbini,Arghakhanchi,Bhumekasthan,1,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-29,"Bhumekasthan, Arghakhanchi, Nepal",27.99794000000003,83.00839000000008
Yes,"Landslide at Kacal, Tinau Rural Municipality-1",,nepal_police,Landslide,2022-04-19,Lumbini,Palpa,Tinau,1,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-19,"Tinau, Palpa, Nepal",27.76465000000007,83.47024000000005
Yes,"Flood at aarubot, Dhulikhel Municipality-12",,other,Flood,2022-04-11,Bagmati,Kavrepalanchok,Dhulikhel,12,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-11,"Dhulikhel, Kavrepalanchok, Nepal",27.62210000000005,85.54281000000003
Yes,"Landslide at Jagatthali, Khanikhola Rural Municipality-4",,nepal_police,Landslide,2022-03-24,Bagmati,Kavrepalanchok,Khanikhola,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2022-03-24,"Khanikhola, Kavrepalanchok, Nepal",27.427430000000072,85.49119000000007
